,Tissue Name,Gene Name,Centrality,Rank
11101,Heart,RP11-131M11.3,1.0,1
5455,Muscle,RP11-145P16.3,0.9911353314004383,2
14344,Heart,LRP10,0.9861049901503671,3
13671,Heart,RAPGEF3,0.9838682724028597,4
8127,Muscle,MTIF3,0.983829387043468,5
14912,Heart,IL12A,0.9824454506850782,6
6294,Muscle,GAS5,0.981573532748426,7
7873,Muscle,CTC-359D24.3,0.9765072846924218,8
8547,Muscle,MRM2,0.974682446403261,9
15284,Heart,TUBA3D,0.9746455843233562,10
11384,Heart,VDAC2,0.9744324659017365,11
7020,Muscle,SYF2,0.9743515832515236,12
8264,Muscle,RP11-345P4.9,0.9742464310023492,13
6788,Muscle,ACOX2,0.9733445516405143,14
12821,Heart,SORD,0.9724143661702997,15
11623,Heart,ATP5B,0.9722859813580143,16
12684,Heart,GYS1,0.9699703086133733,17
5327,Muscle,PPP1R14BP3,0.9689442801433094,18
7957,Muscle,DBP,0.9683790856749863,19
8766,Muscle,FRA10AC1,0.968043521060449,20
15312,Heart,MNS1,0.9677999774242143,21
6552,Muscle,CDKN2B,0.9677449799917053,22
11537,Heart,RNF144A,0.9670548629892471,23
10963,Heart,CTA-204B4.2,0.9668896494526648,24
8364,Muscle,CASP10,0.9665253580116895,25
8943,Muscle,MT2A,0.9661873214078192,26
6508,Muscle,NUDT9,0.9660715946989371,27
11037,Heart,ASS1,0.9659079838173227,28
15142,Heart,RPL23AP82,0.9649879142524409,29
9668,Muscle,PLEKHG4,0.9648248226836033,30
15248,Heart,ZNFX1,0.9641380732591075,31
14136,Heart,S100A8,0.9637319815168378,32
8416,Muscle,LINC00998,0.963345343559592,33
12103,Heart,SAMD4A,0.9631670238910526,34
11939,Heart,NDUFB5,0.9630953466754588,35
6317,Muscle,TEK,0.9624981423844653,36
7162,Muscle,HSPB6,0.9624354778321793,37
9374,Muscle,AFF4,0.9620834529691374,38
11642,Heart,MFAP2,0.9620331249923346,39
15681,Heart,ZNF229,0.9616885008251189,40
10923,Heart,RRNAD1,0.9613153974284958,41
5774,Muscle,SNUPN,0.9608808107033354,42
9788,Muscle,HNRNPA1P4,0.9608432412604561,43
11668,Heart,CD46,0.9608050828732803,44
7764,Muscle,GRK2,0.9603046571771816,45
7379,Muscle,CTD-2267D19.1,0.9600459414605176,46
6115,Muscle,IFITM1,0.9596105203095204,47
9195,Muscle,CD3E,0.9588322590415779,48
9261,Muscle,NADSYN1,0.9576751104958097,49
9293,Muscle,CTD-2292P10.4,0.9574761341446094,50
5285,Muscle,ARNT,0.9573852743083867,51
8413,Muscle,FXYD6,0.9573159744942146,52
5810,Muscle,ZNF540,0.9572797169437605,53
