,Tissue Name,Gene Name,Centrality,Rank
6626,Liver,UPB1,1.0,1
5944,Liver,RP11-1182P23.5,0.9739396074819358,2
5217,Liver,RP11-517P14.7,0.9737727804347571,3
6663,Liver,TBX10,0.9734870139954931,4
5020,Liver,LTBR,0.9711093087846977,5
6507,Liver,CEP164,0.9708972310295383,6
5292,Liver,TIPRL,0.9687053540300048,7
5165,Liver,TENM1,0.9681726423071967,8
5987,Liver,NOL4,0.9669351629922757,9
4726,Liver,GNA11,0.9633150948190203,10
5686,Liver,RPL39,0.9617482880617956,11
7547,Liver,NINL,0.9616655162476668,12
5750,Liver,ZBTB42,0.9594922882406706,13
5267,Liver,RAB22A,0.9594360863879978,14
7559,Liver,SEC31B,0.9562727324402202,15
5846,Liver,RABEP2,0.954169264183704,16
5514,Liver,DHX58,0.9526745759592019,17
5255,Liver,SLC35C1,0.9524239978202425,18
4328,Liver,C1RL-AS1,0.9517593237858358,19
5978,Liver,STRN4,0.9465064061494768,20
6283,Liver,HIPK3,0.9449262684144326,21
3972,Liver,FRZB,0.9447068613619538,22
4324,Liver,WWC1,0.9438252046440095,23
5803,Liver,C17orf107,0.9408394748344867,24
6955,Liver,DYRK3,0.9396957791532522,25
4960,Liver,NTRK2,0.9395842455115546,26
6983,Liver,TMBIM1,0.9392892096019394,27
5608,Liver,UBE2Q1,0.9392078191439386,28
4405,Liver,MGAT5,0.9390554658706575,29
6876,Liver,ST6GALNAC6,0.9388348077286746,30
6999,Liver,UNC5CL,0.9386384061411639,31
4996,Liver,COL9A3,0.9372872755128282,32
4785,Liver,GABARAP,0.9361842975718028,33
7034,Liver,MTND5P1,0.9350449298377533,34
6754,Liver,TMEM184B,0.9344587911426656,35
5782,Liver,UTP18,0.9341049099327363,36
7452,Liver,SERBP1,0.9340418871610917,37
6949,Liver,PLP2,0.9337930188699292,38
6486,Liver,MED7,0.9326575576953486,39
6789,Liver,GK,0.9323087761418106,40
6437,Liver,RAB26,0.9321825259578244,41
5942,Liver,OVGP1,0.9319346475738076,42
5027,Liver,ELFN1,0.9315135913707632,43
6175,Liver,ZBTB21,0.9303867427321726,44
6535,Liver,TMEM87B,0.9281792661601225,45
6137,Liver,TUSC1,0.9278460423957973,46
5104,Liver,LINC01485,0.9276601107652548,47
6467,Liver,SORD,0.9266768099484386,48
6819,Liver,VPS37D,0.926644586291079,49
5635,Liver,SYT2,0.9257645207880216,50
6227,Liver,STRBP,0.9253838962694195,51
4903,Liver,NPTX2,0.9249776689682984,52
5967,Liver,SCG5,0.9247127175495934,53
6129,Liver,TMEM198B,0.924663686563192,54
7158,Liver,ASPA,0.9243419129285542,55
7157,Liver,GTF2H1,0.9242719293099992,56
5188,Liver,PLCG2,0.9239576185560925,57
5638,Liver,EEF1E1,0.9238233972122827,58
3840,Liver,WIZ,0.9236147186761551,59
6842,Liver,TLCD2,0.9232217292562264,60
7315,Liver,CYP4A22,0.9229062185998593,61
5729,Liver,CHRM5,0.9227740660617616,62
7417,Liver,IDH1-AS1,0.9226159748074995,63
5254,Liver,SSBP1,0.9224839507740629,64
5662,Liver,GOLPH3,0.9221528487890698,65
7624,Liver,ACOX2,0.9221315751280288,66
7500,Liver,RP11-266L9.5,0.921484266531775,67
4272,Liver,SFTPD-AS1,0.9210594187432577,68
7495,Liver,MREG,0.9208512701198738,69
4268,Liver,THRSP,0.9207948905348802,70
6965,Liver,GANC,0.9206805289106967,71
4357,Liver,TXNL1,0.92037956113715,72
5603,Liver,RP11-573D15.8,0.9200039729610402,73
4014,Liver,LBP,0.9196742008436849,74
5615,Liver,PKLR,0.9192698804431014,75
4341,Liver,ACSF2,0.9190349218464348,76
5384,Liver,TCP1,0.9188394049971351,77
4131,Liver,TTC39A,0.9182560605460668,78
6888,Liver,LINC00997,0.9177480556186943,79
6438,Liver,TBL1XR1,0.9176518212387044,80
6851,Liver,DAZAP1,0.9175345500847459,81
5946,Liver,JOSD2,0.9171087621441222,82
6908,Liver,CICP14,0.9170400383949753,83
7202,Liver,LINC00886,0.9167328174817727,84
6559,Liver,PHF13,0.9166345008362492,85
7169,Liver,PRPSAP1,0.9162754206134343,86
6006,Liver,TRIM62,0.9150740769903422,87
6516,Liver,NECAB2,0.9150520097638896,88
6913,Liver,THADA,0.914567309184922,89
5469,Liver,EIF5AL1,0.9144305680021446,90
6147,Liver,LEMD2,0.9143099317081939,91
5176,Liver,MYO15A,0.9142132158448482,92
6352,Liver,GSTM2,0.9140191897759158,93
5112,Liver,GIPC1,0.9137134598455608,94
7474,Liver,RP5-875O13.7,0.9136813004301346,95
5724,Liver,SSB,0.913433236704838,96
4583,Liver,ZFP92,0.9131248448971576,97
5776,Liver,IFITM2,0.9131231761053431,98
5489,Liver,OSTM1,0.9130047529153972,99
5921,Liver,RP11-181C3.1,0.9127787929443328,100
6549,Liver,TAX1BP3,0.9126344259750474,101
6632,Liver,IFITM3,0.9125176255872819,102
5336,Liver,GPAT4,0.912273383268809,103
4739,Liver,RGPD3,0.9117849429879417,104
5676,Liver,STEAP4,0.9112496974233751,105
4866,Liver,SNED1,0.9111428492380395,106
6605,Liver,MIDN,0.9110528496538042,107
5886,Liver,SLC35F6,0.910774446323239,108
5885,Liver,ZNF417,0.9103845613027544,109
5755,Liver,FKBP1A,0.9094558028826563,110
6170,Liver,PKDREJ,0.9092651208144943,111
5289,Liver,LPAL2,0.9092173548691389,112
5525,Liver,LYRM4,0.9090693326823349,113
4620,Liver,SYNGR2,0.908476172190106,114
4074,Liver,SLC38A11,0.9083026883107148,115
7115,Liver,MAPK4,0.9082808556862917,116
3948,Liver,TP53TG1,0.9080230291998137,117
3966,Liver,ETNK1,0.9079501831811482,118
5588,Liver,YWHAB,0.9077860172317996,119
7393,Liver,PLD1,0.9077857141337887,120
5122,Liver,CBX3,0.9076101187289848,121
4578,Liver,SVOP,0.9074892169412315,122
4997,Liver,RP11-81A1.6,0.9072378306537666,123
4267,Liver,RAPH1,0.9071168008394829,124
3908,Liver,CYP39A1,0.9067468749960781,125
5359,Liver,PSTK,0.9065992485147475,126
4580,Liver,HLA-E,0.9064593838567486,127
6048,Liver,GARNL3,0.9060350468800372,128
7161,Liver,CCDC150,0.9055301657044594,129
7196,Liver,KIAA1522,0.9046646196765568,130
7607,Liver,TMEM189,0.9042221387576208,131
6404,Liver,JAKMIP2,0.9040939047452254,132
4232,Liver,FNDC4,0.904087144210846,133
3943,Liver,RP1-193H18.2,0.9036808174826588,134
6584,Liver,NCAM1,0.903644374740699,135
5777,Liver,RP11-6O2.3,0.903602229913834,136
7535,Liver,EDEM1,0.9033626150939635,137
4043,Liver,NUS1,0.9030681939750475,138
7210,Liver,FAM66C,0.9029548868632011,139
6226,Liver,RNPC3,0.9027174773534464,140
6813,Liver,L3MBTL4,0.9024890950742099,141
6970,Liver,C12orf49,0.9023695050091493,142
6844,Liver,RAB29,0.9022603620607517,143
5607,Liver,ABCA2,0.9018568902525186,144
3980,Liver,APPL1,0.9018197928319197,145
7154,Liver,ZMYND19,0.9011150913480045,146
7389,Liver,BMP1,0.9009269157186995,147
4738,Liver,MCU,0.9006850314491057,148
7180,Liver,THPO,0.9006681627101927,149
3965,Liver,TMEM119,0.9006650278563846,150
6002,Liver,MAGOH,0.9004787475409485,151
4353,Liver,FBXL19,0.900374262796335,152
7354,Liver,SCAI,0.9001507363221649,153
7560,Liver,BLVRB,0.8994989357325001,154
4473,Liver,AMD1,0.8992585455421601,155
3927,Liver,DSCR3,0.8990830139241632,156
4764,Liver,ASB9,0.898610470064798,157
6510,Liver,SRSF5,0.8977413793555961,158
7246,Liver,IMPA1,0.8977115710199418,159
5571,Liver,RFX7,0.8976987100083007,160
5826,Liver,SCARA5,0.8976224502880598,161
6258,Liver,ATP1A2,0.8976159074919334,162
5611,Liver,TMEM127,0.8973513045376644,163
4436,Liver,AGBL2,0.8973084015476861,164
7528,Liver,GRHPR,0.8970713599623799,165
3878,Liver,CTD-2555O16.4,0.897068680926703,166
7201,Liver,ST3GAL2,0.8965003756438303,167
3870,Liver,ARHGAP32,0.8964813498390038,168
5576,Liver,RP11-119D9.1,0.8962580036531169,169
7322,Liver,LAMTOR5,0.8960560718398624,170
7091,Liver,CTC-459F4.1,0.8960420738434469,171
