,Tissue Name,Gene Name,Centrality,Rank
0,Liver,IDI1,1.0,1
1,Liver,SQLE,0.9880037768044702,2
2,Liver,DARS,0.9679813201211604,3
3,Liver,ITPK1,0.9576347622715891,4
4,Liver,PPP1R3C,0.9503201345890987,5
5,Liver,HNRNPDL,0.9396455063945391,6
6,Liver,PDE4DIP,0.9396290034715483,7
7,Liver,SLC25A16,0.937273935435344,8
8,Liver,PGAM1,0.9325851941477556,9
9,Liver,MPV17L,0.9320680790261489,10
10,Liver,ARNTL,0.9318535790943915,11
11,Liver,PGK1,0.9317359009172085,12
12,Liver,NDUFB1,0.9317121140952043,13
13,Liver,ST6GALNAC6,0.9306831034771104,14
14,Liver,KIAA0232,0.9293121475259383,15
15,Liver,SNRPD3,0.9272394285479191,16
16,Liver,GABARAPL1,0.9259757930796371,17
17,Liver,ELOVL6,0.9258613129204178,18
18,Liver,PA2G4,0.9250242136386037,19
19,Liver,TAF1,0.921158956540988,20
20,Liver,CTH,0.920337113688408,21
21,Liver,HSD17B7,0.920304446127339,22
22,Liver,ERH,0.9202568075498752,23
23,Liver,DGCR2,0.9201797060809965,24
24,Liver,FTX,0.9198219316049069,25
25,Liver,PSMD1,0.919344640805522,26
26,Liver,PHKG2,0.9189195829026314,27
27,Liver,GNB1,0.9179832427648332,28
28,Liver,RCC2,0.9176468817682304,29
29,Liver,CDC27,0.9176401339278315,30
30,Liver,CCDC24,0.9166979351779136,31
31,Liver,AGTR1,0.9166876832858885,32
32,Liver,U2AF2,0.9165534034983683,33
33,Liver,LENG8,0.9164393272048982,34
34,Liver,TIA1,0.9146970074685989,35
35,Liver,HIPK2,0.9131010695364967,36
36,Liver,HCN3,0.9124134737193363,37
37,Liver,CEBPA,0.911720412778552,38
38,Liver,RNF125,0.9116687873699894,39
39,Liver,HMGCR,0.9109313603255432,40
40,Liver,COA3,0.9108450138409425,41
41,Liver,GOLGA1,0.9107623751889714,42
42,Liver,YWHAZ,0.9104987845058268,43
43,Liver,DCAF11,0.9100634853093865,44
44,Liver,SMARCD2,0.9094384443912508,45
45,Liver,SARS,0.9093975627088849,46
46,Liver,SCAP,0.9092984919888,47
47,Liver,NAP1L5,0.9074121144572013,48
48,Liver,GPX2,0.9073614263895536,49
49,Liver,SLC25A15,0.9064716463991894,50
50,Liver,ACADS,0.9063634043240061,51
51,Liver,SRSF4,0.9058473054776063,52
52,Liver,HIST1H2AC,0.9056523284987625,53
53,Liver,UQCRC2,0.9054475514651849,54
54,Liver,CLK2,0.905401095555501,55
55,Liver,YPEL2,0.9052767882794684,56
56,Liver,FLNA,0.9051782420307763,57
57,Liver,PHF8,0.9049643506770001,58
58,Liver,DEK,0.9041872910634906,59
59,Liver,DCUN1D4,0.9039222307555298,60
60,Liver,NEU4,0.9036266152051141,61
61,Liver,DHX9,0.903363787943986,62
62,Liver,COQ10A,0.9032777664375695,63
63,Liver,ACP2,0.9032055591113941,64
64,Liver,PROSC,0.9031408134571475,65
65,Liver,ECH1,0.9021534416703989,66
66,Liver,PDAP1,0.9013249582596173,67
67,Liver,ANKRD11,0.9011280019164909,68
68,Liver,NAA20,0.9008195418490413,69
69,Liver,SCYL1,0.9005404586148344,70
70,Liver,AC016738.4,0.8991826367571379,71
71,Liver,BCS1L,0.8990343352437752,72
72,Liver,N4BP2L1,0.8984316402370065,73
73,Liver,ACIN1,0.8983217889243065,74
74,Liver,YTHDF2,0.8980835369652664,75
75,Liver,TAF4,0.8976276971565963,76
76,Liver,ATP5B,0.8973883042673213,77
77,Liver,PSMB5,0.897352641874531,78
78,Liver,PIK3IP1,0.8958857831490549,79
79,Liver,RP1-193H18.2,0.8958673055334236,80
80,Liver,SKP1,0.8958537141923107,81
81,Liver,LPAL2,0.8957706541925761,82
82,Liver,RFFL,0.8956148769885514,83
83,Liver,TMEM170B,0.8952463786313279,84
84,Liver,HIPK3,0.8951775874072098,85
85,Liver,PGRMC2,0.8939637692045938,86
86,Liver,SCAMP2,0.8929384007203275,87
87,Liver,LRP6,0.8928334779704594,88
88,Liver,ATP6V0E1,0.8926359051645606,89
89,Liver,NDUFB5,0.8920473569715526,90
90,Liver,PTPRF,0.8919867838684941,91
91,Liver,LRP3,0.8914134076825704,92
92,Liver,POLR2L,0.8913255236121321,93
93,Liver,ACOX1,0.8912621709235379,94
94,Liver,IL6R,0.8907230778351627,95
95,Liver,RNF31,0.8904811653896336,96
