,Tissue Name,Gene Name,Centrality,Rank
0,Muscle,OSGIN1,1.0,1
1,Muscle,FXR1,0.9958758019310673,2
2,Muscle,RNF114,0.9864226947399191,3
3,Muscle,ESYT1,0.9863363544182325,4
4,Muscle,TMED5,0.9729390196217425,5
5,Muscle,DUSP1,0.9717201015159109,6
6,Muscle,PSMD14,0.9707678197959058,7
7,Muscle,GTPBP2,0.9676744329891891,8
8,Muscle,PPP1R7,0.9665716384997805,9
9,Muscle,KLHL21,0.9649854875219097,10
10,Muscle,SGSM2,0.9631891234300377,11
11,Muscle,PFKFB1,0.9616615262056563,12
12,Muscle,RPS6KL1,0.9615679985886095,13
13,Muscle,SNX9,0.9599028469780537,14
14,Muscle,MLYCD,0.9594644963721285,15
15,Muscle,AKT2,0.9593513985101383,16
16,Muscle,LSM10,0.9588502866751889,17
17,Muscle,CCDC85B,0.9584549457200405,18
18,Muscle,PIK3R3,0.957364373706554,19
19,Muscle,BCAM,0.9569943695721268,20
20,Muscle,CRIP2,0.9568543113234664,21
21,Muscle,ABCC1,0.9557040010090255,22
22,Muscle,MAFG,0.9556858240506397,23
23,Muscle,MEPCE,0.954168854804952,24
24,Muscle,MYLK3,0.9533018784713548,25
25,Muscle,PYCR2,0.9522491656647768,26
26,Muscle,ABCC9,0.9505938727437909,27
27,Muscle,TUSC2,0.9497898247591597,28
28,Muscle,GDNF,0.9493708569305727,29
29,Muscle,TTLL11,0.9489303006168256,30
30,Muscle,ANGPTL2,0.9487936503233629,31
31,Muscle,CSRNP1,0.9480070789149108,32
32,Muscle,USP32,0.9473588528628938,33
33,Muscle,YY1,0.9471189931095678,34
34,Muscle,USF3,0.9468646995656322,35
35,Muscle,SSFA2,0.9466491937627702,36
36,Muscle,MKL2,0.9462719468047949,37
37,Muscle,PSMD7,0.9459916539513562,38
38,Muscle,KLHL34,0.9458752332882758,39
39,Muscle,HCFC1R1,0.945321812061861,40
40,Muscle,LZTR1,0.9432303007336553,41
41,Muscle,VKORC1L1,0.9430209422954192,42
42,Muscle,FOXJ2,0.9428477786066787,43
43,Muscle,COMT,0.9423194288374679,44
44,Muscle,SRSF6,0.9408413810336934,45
45,Muscle,DDX5,0.9404544472730757,46
46,Muscle,ACTR2,0.9396355525562227,47
47,Muscle,PCNP,0.9389191079172265,48
48,Muscle,UBR4,0.9388202831584248,49
49,Muscle,UGP2,0.9384425604887624,50
50,Muscle,AMOTL1,0.9379992499684892,51
51,Muscle,TNNC1,0.937346469392151,52
52,Muscle,PSMA1,0.9371033018583964,53
53,Muscle,SRSF7,0.9368875204204344,54
54,Muscle,AP1G1,0.9364956781569992,55
55,Muscle,XPNPEP1,0.9364575966154708,56
56,Muscle,AP1S2,0.9359823784369751,57
57,Muscle,MAN2A1,0.9358949736607959,58
58,Muscle,PSMC2,0.9357024966983059,59
59,Muscle,B3GNT5,0.9355379558220659,60
60,Muscle,ARPP21,0.9354596054045023,61
61,Muscle,DAZAP1,0.935326327442371,62
62,Muscle,SH2B3,0.9351903371810181,63
63,Muscle,GNPDA1,0.9349500071202311,64
64,Muscle,HNRNPC,0.9349223771768498,65
65,Muscle,RNF139,0.934848806314454,66
66,Muscle,PRKCQ,0.9346726818973753,67
67,Muscle,SNRNP200,0.9345385721477322,68
68,Muscle,HSDL2,0.9343963948165018,69
69,Muscle,TUFM,0.9337998687538901,70
70,Muscle,ST13,0.9335947285584092,71
71,Muscle,GAMT,0.9334967628911156,72
72,Muscle,AFG3L2,0.9334200323984349,73
73,Muscle,MAPKAPK2,0.932860002939497,74
74,Muscle,RASIP1,0.931899351469585,75
75,Muscle,EPM2AIP1,0.9317652925723667,76
76,Muscle,ZC3H12A,0.9315682717149565,77
77,Muscle,PLIN2,0.9310956497044858,78
78,Muscle,TMEM135,0.9304915055897772,79
79,Muscle,SERINC1,0.930337137671907,80
80,Muscle,MYF6,0.9302534845210366,81
81,Muscle,NASP,0.9301376547045063,82
82,Muscle,MAPK6,0.9297157741786507,83
83,Muscle,CD2BP2,0.9295650442242716,84
84,Muscle,IKBKB,0.9294448739542355,85
85,Muscle,RAB1B,0.9292699259805685,86
86,Muscle,SORBS1,0.9289827504005516,87
87,Muscle,DLC1,0.9287707210958493,88
88,Muscle,HMGA1,0.928714005985715,89
89,Muscle,UTP11,0.9277522972188352,90
90,Muscle,TPCN1,0.927175910163392,91
91,Muscle,PLAA,0.9271295793597594,92
92,Muscle,PLS3,0.9267761929342982,93
93,Muscle,TEAD1,0.9258206476418094,94
94,Muscle,CCDC6,0.9256655551242751,95
95,Muscle,ITGAE,0.9256455633110917,96
96,Muscle,HCFC2,0.9254774991973922,97
97,Muscle,SLC2A3,0.925367016191272,98
98,Muscle,MBP,0.9253635290467505,99
99,Muscle,IRAK2,0.9253456006898038,100
100,Muscle,EPS15L1,0.9252911741543226,101
101,Muscle,ABCA10,0.9250809213456302,102
102,Muscle,FANCE,0.9246399603507891,103
103,Muscle,MFGE8,0.9244776085472359,104
104,Muscle,C12orf75,0.9243194546914287,105
105,Muscle,NUP98,0.9241074728322999,106
106,Muscle,NUP153,0.9240217778034451,107
107,Muscle,CNST,0.9239733231961902,108
108,Muscle,MRLN,0.9235284348981018,109
109,Muscle,ANXA7,0.9234034578399114,110
110,Muscle,PPP1R18,0.923392661696048,111
111,Muscle,SVIL,0.9228372725721883,112
112,Muscle,ABL1,0.9224928373943584,113
113,Muscle,SOGA1,0.9224199543734003,114
114,Muscle,TPR,0.9221127174655938,115
115,Muscle,ADGRF5,0.9215957847864757,116
