,Tissue Name,Gene Name,Centrality,Rank
6912,Stomach,TRAPPC5,1.0,1
1942,Muscle,EAPP,0.9914604081910022,2
688,Muscle,SRSF7,0.9862338004482745,3
4530,Stomach,FAM173A,0.9790389684341532,4
1745,Muscle,HDAC2,0.978766316389968,5
650,Muscle,PANK4,0.9732834277725602,6
3010,Muscle,DST,0.9700611561968466,7
4269,Stomach,NCL,0.9697915220940457,8
2870,Muscle,PMF1,0.9693028614467338,9
486,Muscle,NCL,0.9680759668364387,10
4,Muscle,ABHD16A,0.9680055491122643,11
4419,Stomach,RP11-47A8.5,0.9675068636309732,12
5990,Stomach,FAF2,0.9649445372413243,13
941,Muscle,TARDBP,0.9649129556071967,14
2898,Muscle,ARMC5,0.9616981645040952,15
433,Muscle,MED11,0.9616343594783564,16
4900,Stomach,SQSTM1,0.9606968515488432,17
1130,Muscle,DOK7,0.9601130773167037,18
5889,Stomach,ABHD17A,0.9595539355696013,19
921,Muscle,VARS,0.9592159268149414,20
2909,Muscle,CLINT1,0.9590555896879808,21
4697,Stomach,CCDC85B,0.9587105693861889,22
6979,Stomach,UBN2,0.9580584856110793,23
914,Muscle,CCDC85B,0.9576817028245438,24
1117,Muscle,SQSTM1,0.9576496859521483,25
1723,Muscle,MPST,0.9572549163846507,26
1425,Muscle,MSH6,0.9568023503535041,27
3248,Muscle,RP11-315I20.1,0.9567838586242686,28
273,Muscle,SCAND1,0.9567776779544866,29
3485,Muscle,H2AFJ,0.9562934373260223,30
687,Muscle,STAC3,0.9560659233912147,31
7522,Stomach,C4orf48,0.9556678648391276,32
3039,Muscle,CBWD2,0.9556612978639982,33
26,Muscle,MRPL44,0.9554453034526009,34
2242,Muscle,ZNF615,0.9551831460189527,35
5819,Stomach,TMEM160,0.9551702551990131,36
2443,Muscle,AAMP,0.9551297325465682,37
5522,Stomach,ZNF771,0.9551295723620529,38
1889,Muscle,PABPN1,0.954925261315382,39
4540,Stomach,RPS19BP1,0.9549227868348017,40
6369,Stomach,ATP5D,0.9548163201878119,41
2300,Muscle,MBD3,0.9547946304971869,42
873,Muscle,PRMT5,0.9541798543197054,43
4308,Stomach,MKI67,0.9538606531579177,44
381,Muscle,TFIP11,0.9538406581824905,45
1186,Muscle,COMTD1,0.9537407660845235,46
6705,Stomach,SSNA1,0.9536145593776074,47
5632,Stomach,CDK1,0.9533108317811322,48
4662,Stomach,RPL4P4,0.9531334428803939,49
4988,Stomach,FAM229A,0.9530830739742929,50
5286,Stomach,ZRANB2,0.9529057327222312,51
2692,Muscle,ILVBL,0.9518970325527403,52
3316,Muscle,SNX2,0.951557981802936,53
4232,Stomach,BBS5,0.9514773116523911,54
6647,Stomach,SRSF2,0.9513568674965179,55
7027,Stomach,CCT5,0.9510913544240537,56
3709,Muscle,LRRC2,0.9510207904259822,57
5760,Stomach,TAF15,0.9510059771942271,58
261,Muscle,CIR1,0.9509911992768925,59
6468,Stomach,PDDC1,0.9507894361407275,60
4588,Stomach,MTHFD2L,0.9506450998289075,61
5221,Stomach,GCLM,0.9504397143598612,62
2063,Muscle,HSF1,0.9503178189583733,63
4189,Stomach,TPGS1,0.9500796382029217,64
5848,Stomach,PATL1,0.9491540281582792,65
6662,Stomach,DAB2IP,0.9490809842902251,66
2652,Muscle,CAPN1,0.9490353843954683,67
662,Muscle,TIMM21,0.9489500207198671,68
7316,Stomach,MSMO1,0.9488638529008578,69
3858,Stomach,RPS23P8,0.9485068186994512,70
3336,Muscle,OXCT1,0.9484680847898321,71
4311,Stomach,CAB39L,0.948461002079847,72
3777,Muscle,FAM199X,0.9480634322395088,73
4553,Stomach,SLC4A2,0.947882723769298,74
1516,Muscle,SCML2,0.947805989737449,75
1200,Muscle,SPPL2A,0.9477190566561797,76
5583,Stomach,ARHGAP26,0.9477025419910671,77
5050,Stomach,IQGAP3,0.9475609528855797,78
2505,Muscle,PAK4,0.9474395872500018,79
1454,Muscle,PHC3,0.947413706900942,80
1004,Muscle,NT5C3A,0.9473400517769147,81
489,Muscle,E2F4,0.9473140833931487,82
5451,Stomach,PHF1,0.9471567381553231,83
6909,Stomach,NUSAP1,0.9470135981804596,84
1198,Muscle,CBY1,0.9468824542790084,85
2094,Muscle,RSPH3,0.9468713165321276,86
6513,Stomach,RPS15,0.9468461289838563,87
5838,Stomach,NUP98,0.9467495635278781,88
6523,Stomach,SNRPD2,0.9466830916027414,89
3286,Muscle,ARMC6,0.9466323376042514,90
2762,Muscle,PDZD11,0.9466276169453148,91
4183,Stomach,NHP2,0.946307075232735,92
6127,Stomach,CSNK1G2,0.9462779184216226,93
928,Muscle,NFAT5,0.9461986238194926,94
1143,Muscle,RAVER1,0.9461781787323379,95
3803,Stomach,PRDM10,0.9459455405350201,96
2570,Muscle,TARSL2,0.94593469505466,97
122,Muscle,SLC6A8,0.9457892518644745,98
4555,Stomach,FKBP2,0.945475868298088,99
5980,Stomach,RP11-466H18.1,0.945236546075399,100
5527,Stomach,MCM5,0.9450671895961077,101
3169,Muscle,CCT6A,0.9449583073478482,102
513,Muscle,MRPS5,0.9448772167418309,103
1446,Muscle,GSTZ1,0.9448099905327182,104
3468,Muscle,DHX30,0.9446159510655882,105
1655,Muscle,CYHR1,0.9445758629723459,106
2507,Muscle,CCDC94,0.9444511897245568,107
1500,Muscle,ZNF316,0.9444472620583056,108
7176,Stomach,HMGCS1,0.9444197677190426,109
2366,Muscle,DCAF13,0.9443484281696577,110
6273,Stomach,PPIH,0.944223456842356,111
2522,Muscle,RP11-342K6.1,0.9441730112063437,112
4918,Stomach,GINS1,0.9439082004257133,113
3493,Muscle,CSNK2B,0.943784744769344,114
807,Muscle,COQ8B,0.9437826495274435,115
6667,Stomach,RPL36,0.9436443896197739,116
5886,Stomach,TCEAL3,0.943634900308935,117
2065,Muscle,PATL1,0.9435542190447094,118
1093,Muscle,RNF167,0.9432882872686208,119
198,Muscle,MAFK,0.9431054196419023,120
910,Muscle,KCTD11,0.9430355586683076,121
182,Muscle,SMAD9,0.9429623388591981,122
1419,Muscle,PGP,0.9429521553188468,123
530,Muscle,RELB,0.9429363948864442,124
3750,Muscle,DDR1,0.9428616474540504,125
5898,Stomach,STARD8,0.9428093758447655,126
4508,Stomach,TAF6L,0.9427828849521183,127
4651,Stomach,MAP3K10,0.9426109421283903,128
6275,Stomach,C19orf43,0.9425592165723747,129
2028,Muscle,PHLDA3,0.942381213200105,130
1289,Muscle,ZNF347,0.9422235609042302,131
1288,Muscle,YAP1,0.9421967658805207,132
2312,Muscle,EXOSC3,0.9420546807818058,133
72,Muscle,ZNF570,0.9420317917999895,134
4193,Stomach,RPL37,0.9418521344526429,135
6466,Stomach,SNHG4,0.9418269432099521,136
129,Muscle,SHISA3,0.9417544201711076,137
278,Muscle,AC004893.11,0.9417262181291567,138
2058,Muscle,CTR9,0.9417153104197568,139
1988,Muscle,UBE2T,0.9417124631288328,140
2749,Muscle,GET4,0.9413681157998612,141
3563,Muscle,HAT1,0.9412910722181235,142
4155,Stomach,SNRPE,0.9412765037112031,143
34,Muscle,RFX1,0.9412696776430894,144
413,Muscle,UCP3,0.9411127483750483,145
2663,Muscle,H2AFY,0.9410315687040285,146
6985,Stomach,DPP3,0.9410179846527309,147
1916,Muscle,USP16,0.9408446337622911,148
6469,Stomach,PTRH1,0.9407691562452268,149
3202,Muscle,DPP3,0.9406718252757958,150
3257,Muscle,TBC1D4,0.9406539790330077,151
2169,Muscle,METTL23,0.9406439616317596,152
6520,Stomach,KIF1A,0.9405792572140685,153
1226,Muscle,WBP11,0.940489519324932,154
1503,Muscle,ZRANB2,0.9402233975394094,155
6629,Stomach,SLTM,0.9401610417809665,156
3453,Muscle,H1FX,0.940065160006173,157
4660,Stomach,RPL7AP6,0.9399755512873851,158
6580,Stomach,ACLY,0.9399014224595094,159
1045,Muscle,CDC42SE2,0.9398401381477753,160
4552,Stomach,H1F0,0.9398357986437605,161
359,Muscle,ACTL6A,0.9397338763884424,162
2653,Muscle,PPIG,0.9397280750264353,163
6190,Stomach,RPS3AP6,0.9396497563228096,164
1681,Muscle,KRIT1,0.9396129519215228,165
7491,Stomach,SPIN1,0.9396097225912683,166
1264,Muscle,DDX49,0.9393222485978048,167
1844,Muscle,OAZ1,0.9393147946623874,168
7558,Stomach,RACK1,0.9392159083909882,169
389,Muscle,FRY,0.9391721330274064,170
3019,Muscle,KIF3A,0.9391039467751455,171
6232,Stomach,CDC42P6,0.939078666122119,172
2191,Muscle,PAM,0.9389739648280071,173
5846,Stomach,HSF1,0.9389683066820187,174
7424,Stomach,DOT1L,0.9388952512515198,175
2432,Muscle,CLTA,0.9388375391732661,176
7418,Stomach,SCFD2,0.9387369014033405,177
2574,Muscle,HPRT1,0.9387228439698133,178
1576,Muscle,LPXN,0.9386532034282085,179
1930,Muscle,POLD4,0.9385961585583888,180
4276,Stomach,ZNF292,0.938584451211374,181
81,Muscle,ANO5,0.9384633363239017,182
5468,Stomach,FASN,0.9384355230950645,183
65,Muscle,ZNF461,0.9383828883753257,184
3513,Muscle,TPM3,0.9383783986381962,185
751,Muscle,GDNF,0.9383628807379657,186
4857,Stomach,ATP6V0D1,0.9383295619685614,187
4704,Stomach,VARS,0.9382155684951351,188
2284,Muscle,NOSIP,0.9381591156581653,189
3507,Muscle,FIZ1,0.938037952808975,190
6744,Stomach,CCDC91,0.9379834150758403,191
5929,Stomach,NACC1,0.9379192732232187,192
